id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,odp,proses_pemantauan,selesai_pemantauan,odp_meninggal,pdp,masih_dirawat,pulang_dan_sehat,pdp_meninggal,positif,dirawat,sembuh,meninggal,self_isolation,keterangan,
3173031001,3173031001,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,TAMAN SARI,172,0,172,0,27,3,24,0,10,0,5,1,4,
3173041007,3173041007,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ANGKE,369,0,369,0,45,3,41,1,37,2,16,0,19,
3174061004,3174061004,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,GANDARIA SELATAN,123,2,121,0,20,1,19,0,7,0,4,1,2,
3171021002,3171021002,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,444,7,436,1,88,7,78,3,44,11,17,5,11,
3171061005,3171061005,DKI JAKARTA,JAKARTA PUSAT,MENTENG,KEBON SIRIH,172,0,172,0,15,0,13,2,33,2,21,1,9,
3175091003,3175091003,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,KELAPA DUA WETAN,374,0,374,0,30,3,26,1,22,0,9,1,12,
3171041004,3171041004,DKI JAKARTA,JAKARTA PUSAT,SENEN,KRAMAT,484,2,481,1,44,5,37,2,71,1,56,7,7,
3174021008,3174021008,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KUNINGAN TIMUR,73,0,73,0,16,0,15,1,7,0,5,2,0,
3175081001,3175081001,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,MAKASAR,225,0,223,2,15,1,13,1,10,1,6,0,3,
3174081005,3174081005,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,PENGADEGAN,99,1,98,0,9,1,7,1,13,1,9,0,3,
3171071004,3171071004,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,382,0,382,0,69,3,62,4,140,2,123,9,6,
3172041005,3172041005,DKI JAKARTA,JAKARTA UTARA,CILINCING,SEMPER TIMUR,176,0,176,0,37,0,36,1,26,0,12,2,12,
3171071007,3171071007,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,100,0,99,1,23,5,18,0,16,0,12,1,3,
3173041009,3173041009,DKI JAKARTA,JAKARTA BARAT,TAMBORA,PEKOJAN,168,0,168,0,33,2,29,2,27,0,19,0,8,
