tanggal,kode_kelurahan,wilayah_kota,kecamatan,kelurahan,penerima_vaksinasi,dosis,jumlah_vaksin
2021-06-23,3171081001,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,PELAYAN PUBLIK,DOSIS 1,8166
2021-06-23,3171071007,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,PELAYAN PUBLIK,DOSIS 1,1634
2021-06-23,3171081002,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,PELAYAN PUBLIK,DOSIS 1,5421
2021-06-23,3171021002,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,PELAYAN PUBLIK,DOSIS 1,4523
2021-06-23,3171071003,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PELAYAN PUBLIK,DOSIS 1,3338
2021-06-23,3171021003,JAKARTA PUSAT,SAWAH BESAR,KARTINI,PELAYAN PUBLIK,DOSIS 1,4107
2021-06-23,3171071006,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PELAYAN PUBLIK,DOSIS 1,2882
2021-06-23,3171011005,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,PELAYAN PUBLIK,DOSIS 1,1571
2021-06-23,3171031002,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,PELAYAN PUBLIK,DOSIS 1,5442
2021-06-23,3171071005,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PELAYAN PUBLIK,DOSIS 1,3954
2021-06-23,3171061005,JAKARTA PUSAT,MENTENG,KEBON SIRIH,PELAYAN PUBLIK,DOSIS 1,1824
2021-06-23,3171031001,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,PELAYAN PUBLIK,DOSIS 1,3928
2021-06-23,3171041002,JAKARTA PUSAT,SENEN,KENARI,PELAYAN PUBLIK,DOSIS 1,2251
2021-06-23,3171041004,JAKARTA PUSAT,SENEN,KRAMAT,PELAYAN PUBLIK,DOSIS 1,4220
2021-06-23,3171041005,JAKARTA PUSAT,SENEN,KWITANG,PELAYAN PUBLIK,DOSIS 1,2997
2021-06-23,3171021005,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,PELAYAN PUBLIK,DOSIS 1,4984
2021-06-23,3171061001,JAKARTA PUSAT,MENTENG,MENTENG,PELAYAN PUBLIK,DOSIS 1,3884
2021-06-23,3171021001,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,PELAYAN PUBLIK,DOSIS 1,3151
2021-06-23,3171041003,JAKARTA PUSAT,SENEN,PASEBAN,PELAYAN PUBLIK,DOSIS 1,4425
2021-06-23,3171061002,JAKARTA PUSAT,MENTENG,PEGANGSAAN,PELAYAN PUBLIK,DOSIS 1,4114
2021-06-23,3171071004,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PELAYAN PUBLIK,DOSIS 1,4399
2021-06-23,3171011004,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,PELAYAN PUBLIK,DOSIS 1,3072
2021-06-23,3171011003,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,PELAYAN PUBLIK,DOSIS 1,3156
2021-06-23,3171051003,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,PELAYAN PUBLIK,DOSIS 1,4077
2021-06-23,3171041001,JAKARTA PUSAT,SENEN,SENEN,PELAYAN PUBLIK,DOSIS 1,1493
2021-06-23,3171031004,JAKARTA PUSAT,KEMAYORAN,SERDANG,PELAYAN PUBLIK,DOSIS 1,5774
2021-06-23,3171031007,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,PELAYAN PUBLIK,DOSIS 1,4251
2021-06-23,3171081004,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,PELAYAN PUBLIK,DOSIS 1,7603
2021-06-23,3171031008,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,PELAYAN PUBLIK,DOSIS 1,4616
2021-06-24,3171071002,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PELAYAN PUBLIK,DOSIS 1,4665
2021-06-24,3171041006,JAKARTA PUSAT,SENEN,BUNGUR,PELAYAN PUBLIK,DOSIS 1,3698
2021-06-24,3171031006,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,PELAYAN PUBLIK,DOSIS 1,5821
2021-06-24,3171051002,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,PELAYAN PUBLIK,DOSIS 1,5947
2021-06-24,3171051001,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,PELAYAN PUBLIK,DOSIS 1,4901
2021-06-24,3171011002,JAKARTA PUSAT,GAMBIR,CIDENG,PELAYAN PUBLIK,DOSIS 1,3456
2021-06-24,3171061003,JAKARTA PUSAT,MENTENG,CIKINI,PELAYAN PUBLIK,DOSIS 1,1565
2021-06-24,3171011006,JAKARTA PUSAT,GAMBIR,DURI PULO,PELAYAN PUBLIK,DOSIS 1,3423
2021-06-24,3171081003,JAKARTA PUSAT,JOHAR BARU,GALUR,PELAYAN PUBLIK,DOSIS 1,4385
2021-06-24,3171011001,JAKARTA PUSAT,GAMBIR,GAMBIR,PELAYAN PUBLIK,DOSIS 1,669
2021-06-24,3171071001,JAKARTA PUSAT,TANAH ABANG,GELORA,PELAYAN PUBLIK,DOSIS 1,585
2021-06-24,3171061004,JAKARTA PUSAT,MENTENG,GONDANGDIA,PELAYAN PUBLIK,DOSIS 1,1100
2021-06-24,3171031005,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,PELAYAN PUBLIK,DOSIS 1,3838
2021-06-24,3171021004,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,PELAYAN PUBLIK,DOSIS 1,4030
2021-06-24,3171031003,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,PELAYAN PUBLIK,DOSIS 1,4070
2021-06-24,3171081001,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,PELAYAN PUBLIK,DOSIS 1,8469
2021-06-24,3171071007,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,PELAYAN PUBLIK,DOSIS 1,1729
2021-06-24,3171081002,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,PELAYAN PUBLIK,DOSIS 1,5634
2021-06-24,3171021002,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,PELAYAN PUBLIK,DOSIS 1,4743
2021-06-24,3171071003,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PELAYAN PUBLIK,DOSIS 1,3552
2021-06-24,3171021003,JAKARTA PUSAT,SAWAH BESAR,KARTINI,PELAYAN PUBLIK,DOSIS 1,4319
2021-06-24,3171071006,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PELAYAN PUBLIK,DOSIS 1,3034
2021-06-24,3171011005,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,PELAYAN PUBLIK,DOSIS 1,1669
2021-06-24,3171031002,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,PELAYAN PUBLIK,DOSIS 1,5759
2021-06-24,3171071005,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PELAYAN PUBLIK,DOSIS 1,4143
2021-06-24,3171061005,JAKARTA PUSAT,MENTENG,KEBON SIRIH,PELAYAN PUBLIK,DOSIS 1,1925
2021-06-24,3171031001,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,PELAYAN PUBLIK,DOSIS 1,4118
2021-06-24,3171041002,JAKARTA PUSAT,SENEN,KENARI,PELAYAN PUBLIK,DOSIS 1,2311
2021-06-24,3171041004,JAKARTA PUSAT,SENEN,KRAMAT,PELAYAN PUBLIK,DOSIS 1,4448
2021-06-24,3171041005,JAKARTA PUSAT,SENEN,KWITANG,PELAYAN PUBLIK,DOSIS 1,3106
2021-06-24,3171021005,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,PELAYAN PUBLIK,DOSIS 1,5195
2021-06-24,3171061001,JAKARTA PUSAT,MENTENG,MENTENG,PELAYAN PUBLIK,DOSIS 1,4081
