tanggal,kode_kelurahan,wilayah_kota,kecamatan,kelurahan,penerima_vaksinasi,dosis,jumlah_vaksin
2021-06-23,3171041003,JAKARTA PUSAT,SENEN,PASEBAN,LANSIA,Dosis 1,1429
2021-06-23,3171061002,JAKARTA PUSAT,MENTENG,PEGANGSAAN,LANSIA,Dosis 1,1177
2021-06-23,3171071004,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,LANSIA,Dosis 1,1004
2021-06-23,3171011004,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,LANSIA,Dosis 1,1048
2021-06-23,3171011003,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,LANSIA,Dosis 1,1417
2021-06-23,3171051003,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,LANSIA,Dosis 1,1370
2021-06-23,3171041001,JAKARTA PUSAT,SENEN,SENEN,LANSIA,Dosis 1,484
2021-06-23,3171031004,JAKARTA PUSAT,KEMAYORAN,SERDANG,LANSIA,Dosis 1,1455
2021-06-23,3171031007,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,LANSIA,Dosis 1,1299
2021-06-23,3171081004,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,LANSIA,Dosis 1,2284
2021-06-23,3171031008,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,LANSIA,Dosis 1,1126
2021-06-24,3171071002,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,LANSIA,Dosis 1,1560
2021-06-24,3171041006,JAKARTA PUSAT,SENEN,BUNGUR,LANSIA,Dosis 1,1251
2021-06-24,3171031006,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,LANSIA,Dosis 1,1538
2021-06-24,3171051002,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,LANSIA,Dosis 1,1967
2021-06-24,3171051001,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,LANSIA,Dosis 1,1878
2021-06-24,3171011002,JAKARTA PUSAT,GAMBIR,CIDENG,LANSIA,Dosis 1,1665
2021-06-24,3171061003,JAKARTA PUSAT,MENTENG,CIKINI,LANSIA,Dosis 1,555
2021-06-24,3171011006,JAKARTA PUSAT,GAMBIR,DURI PULO,LANSIA,Dosis 1,1252
2021-06-24,3171081003,JAKARTA PUSAT,JOHAR BARU,GALUR,LANSIA,Dosis 1,1011
2021-06-24,3171011001,JAKARTA PUSAT,GAMBIR,GAMBIR,LANSIA,Dosis 1,213
2021-06-24,3171071001,JAKARTA PUSAT,TANAH ABANG,GELORA,LANSIA,Dosis 1,240
2021-06-24,3171061004,JAKARTA PUSAT,MENTENG,GONDANGDIA,LANSIA,Dosis 1,521
2021-06-24,3171031005,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,LANSIA,Dosis 1,1328
2021-06-24,3171021004,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,LANSIA,Dosis 1,1906
2021-06-24,3171031003,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,LANSIA,Dosis 1,1147
2021-06-24,3171081001,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,LANSIA,Dosis 1,2542
2021-06-24,3171071007,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,LANSIA,Dosis 1,774
2021-06-24,3171081002,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,LANSIA,Dosis 1,1293
2021-06-24,3171021002,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,LANSIA,Dosis 1,1999
2021-06-24,3171071003,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,LANSIA,Dosis 1,856
2021-06-24,3171021003,JAKARTA PUSAT,SAWAH BESAR,KARTINI,LANSIA,Dosis 1,2107
2021-06-24,3171071006,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,LANSIA,Dosis 1,1232
2021-06-24,3171011005,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,LANSIA,Dosis 1,993
2021-06-24,3171031002,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,LANSIA,Dosis 1,1525
2021-06-24,3171071005,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,LANSIA,Dosis 1,1153
2021-06-24,3171061005,JAKARTA PUSAT,MENTENG,KEBON SIRIH,LANSIA,Dosis 1,652
2021-06-24,3171031001,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,LANSIA,Dosis 1,1618
2021-06-24,3171041002,JAKARTA PUSAT,SENEN,KENARI,LANSIA,Dosis 1,775
2021-06-24,3171041004,JAKARTA PUSAT,SENEN,KRAMAT,LANSIA,Dosis 1,1463
2021-06-24,3171041005,JAKARTA PUSAT,SENEN,KWITANG,LANSIA,Dosis 1,1126
2021-06-24,3171021005,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,LANSIA,Dosis 1,2107
2021-06-24,3171061001,JAKARTA PUSAT,MENTENG,MENTENG,LANSIA,Dosis 1,1333
2021-06-24,3171021001,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,LANSIA,Dosis 1,1727
2021-06-24,3171041003,JAKARTA PUSAT,SENEN,PASEBAN,LANSIA,Dosis 1,1429
2021-06-24,3171061002,JAKARTA PUSAT,MENTENG,PEGANGSAAN,LANSIA,Dosis 1,1179
2021-06-24,3171071004,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,LANSIA,Dosis 1,1004
2021-06-24,3171011004,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,LANSIA,Dosis 1,1049
2021-06-24,3171011003,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,LANSIA,Dosis 1,1417
2021-06-24,3171051003,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,LANSIA,Dosis 1,1374
2021-06-24,3171041001,JAKARTA PUSAT,SENEN,SENEN,LANSIA,Dosis 1,484
2021-06-24,3171031004,JAKARTA PUSAT,KEMAYORAN,SERDANG,LANSIA,Dosis 1,1455
2021-06-24,3171031007,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,LANSIA,Dosis 1,1300
2021-06-24,3171081004,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,LANSIA,Dosis 1,2284
2021-06-24,3171031008,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,LANSIA,Dosis 1,1129
2021-06-25,3171071002,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,LANSIA,Dosis 1,1561
2021-06-25,3171041006,JAKARTA PUSAT,SENEN,BUNGUR,LANSIA,Dosis 1,1252
2021-06-25,3171031006,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,LANSIA,Dosis 1,1540
2021-06-25,3171051002,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,LANSIA,Dosis 1,1971
2021-06-25,3171051001,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,LANSIA,Dosis 1,1879
2021-06-25,3171011002,JAKARTA PUSAT,GAMBIR,CIDENG,LANSIA,Dosis 1,1666
2021-06-25,3171061003,JAKARTA PUSAT,MENTENG,CIKINI,LANSIA,Dosis 1,555
2021-06-25,3171011006,JAKARTA PUSAT,GAMBIR,DURI PULO,LANSIA,Dosis 1,1252
2021-06-25,3171081003,JAKARTA PUSAT,JOHAR BARU,GALUR,LANSIA,Dosis 1,1011
2021-06-25,3171011001,JAKARTA PUSAT,GAMBIR,GAMBIR,LANSIA,Dosis 1,213
2021-06-25,3171071001,JAKARTA PUSAT,TANAH ABANG,GELORA,LANSIA,Dosis 1,240
2021-06-25,3171061004,JAKARTA PUSAT,MENTENG,GONDANGDIA,LANSIA,Dosis 1,521
2021-06-25,3171031005,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,LANSIA,Dosis 1,1328
2021-06-25,3171021004,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,LANSIA,Dosis 1,1908
2021-06-25,3171031003,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,LANSIA,Dosis 1,1147
2021-06-25,3171081001,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,LANSIA,Dosis 1,2542
2021-06-25,3171071007,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,LANSIA,Dosis 1,774
