id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kontrasepsi,jumlah_peserta_kb,satuan,tahun
179,32,JAWA BARAT,3278,KOTA TASIKMALAYA,AKDR,1414,ORANG,2019
180,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MOP,0,ORANG,2019
181,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MOW,51,ORANG,2019
182,32,JAWA BARAT,3278,KOTA TASIKMALAYA,IMPLAN,43,ORANG,2019
183,32,JAWA BARAT,3279,KOTA BANJAR,KONDOM,64,ORANG,2019
184,32,JAWA BARAT,3279,KOTA BANJAR,SUNTIK,1182,ORANG,2019
185,32,JAWA BARAT,3279,KOTA BANJAR,PIL,265,ORANG,2019
186,32,JAWA BARAT,3279,KOTA BANJAR,AKDR,163,ORANG,2019
187,32,JAWA BARAT,3279,KOTA BANJAR,MOP,0,ORANG,2019
188,32,JAWA BARAT,3279,KOTA BANJAR,MOW,26,ORANG,2019
189,32,JAWA BARAT,3279,KOTA BANJAR,IMPLAN,207,ORANG,2019
