id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_sektor,status_higiene_sanitasi,jumlah_tpm,satuan,tahun
177,32,JAWA BARAT,3275,KOTA BEKASI,DEPOT AIR MINUM (DAM),MEMENUHI SYARAT,619,UNIT,2018
178,32,JAWA BARAT,3275,KOTA BEKASI,DEPOT AIR MINUM (DAM),TIDAK MEMENUHI SYARAT,341,UNIT,2018
179,32,JAWA BARAT,3275,KOTA BEKASI,JASA BOGA,MEMENUHI SYARAT,114,UNIT,2018
180,32,JAWA BARAT,3275,KOTA BEKASI,JASA BOGA,TIDAK MEMENUHI SYARAT,84,UNIT,2018
181,32,JAWA BARAT,3275,KOTA BEKASI,MAKANAN JAJANAN,MEMENUHI SYARAT,315,UNIT,2018
182,32,JAWA BARAT,3275,KOTA BEKASI,MAKANAN JAJANAN,TIDAK MEMENUHI SYARAT,504,UNIT,2018
183,32,JAWA BARAT,3275,KOTA BEKASI,RUMAH MAKAN/RESTORAN,MEMENUHI SYARAT,703,UNIT,2018
184,32,JAWA BARAT,3275,KOTA BEKASI,RUMAH MAKAN/RESTORAN,TIDAK MEMENUHI SYARAT,842,UNIT,2018
185,32,JAWA BARAT,3276,KOTA DEPOK,DEPOT AIR MINUM (DAM),MEMENUHI SYARAT,258,UNIT,2018
186,32,JAWA BARAT,3276,KOTA DEPOK,DEPOT AIR MINUM (DAM),TIDAK MEMENUHI SYARAT,204,UNIT,2018
187,32,JAWA BARAT,3276,KOTA DEPOK,JASA BOGA,MEMENUHI SYARAT,114,UNIT,2018
188,32,JAWA BARAT,3276,KOTA DEPOK,JASA BOGA,TIDAK MEMENUHI SYARAT,86,UNIT,2018
189,32,JAWA BARAT,3276,KOTA DEPOK,MAKANAN JAJANAN,MEMENUHI SYARAT,227,UNIT,2018
190,32,JAWA BARAT,3276,KOTA DEPOK,MAKANAN JAJANAN,TIDAK MEMENUHI SYARAT,145,UNIT,2018
191,32,JAWA BARAT,3276,KOTA DEPOK,RUMAH MAKAN/RESTORAN,MEMENUHI SYARAT,591,UNIT,2018
192,32,JAWA BARAT,3276,KOTA DEPOK,RUMAH MAKAN/RESTORAN,TIDAK MEMENUHI SYARAT,703,UNIT,2018
193,32,JAWA BARAT,3277,KOTA CIMAHI,DEPOT AIR MINUM (DAM),MEMENUHI SYARAT,57,UNIT,2018
194,32,JAWA BARAT,3277,KOTA CIMAHI,DEPOT AIR MINUM (DAM),TIDAK MEMENUHI SYARAT,171,UNIT,2018
195,32,JAWA BARAT,3277,KOTA CIMAHI,JASA BOGA,MEMENUHI SYARAT,23,UNIT,2018
196,32,JAWA BARAT,3277,KOTA CIMAHI,JASA BOGA,TIDAK MEMENUHI SYARAT,78,UNIT,2018
