id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,tempat_umum,jumlah_tempat_umum,satuan,tahun
197,32,JAWA BARAT,3201,KABUPATEN BOGOR,TEMPAT IBADAH,1946,UNIT,2019
198,32,JAWA BARAT,3201,KABUPATEN BOGOR,PASAR,12,UNIT,2019
199,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SD,954,UNIT,2019
200,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SMP,299,UNIT,2019
201,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SMA,203,UNIT,2019
202,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PUSKESMAS,58,UNIT,2019
203,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RUMAH SAKIT,7,UNIT,2019
204,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,HOTEL BINTANG,0,UNIT,2019
205,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,HOTEL NON BINTANG,0,UNIT,2019
206,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TEMPAT IBADAH,0,UNIT,2019
207,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PASAR,0,UNIT,2019
208,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SD,924,UNIT,2019
209,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SMP,268,UNIT,2019
210,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SMA,178,UNIT,2019
211,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PUSKESMAS,67,UNIT,2019
212,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RUMAH SAKIT,5,UNIT,2019
213,32,JAWA BARAT,3203,KABUPATEN CIANJUR,HOTEL BINTANG,0,UNIT,2019
214,32,JAWA BARAT,3203,KABUPATEN CIANJUR,HOTEL NON BINTANG,0,UNIT,2019
215,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TEMPAT IBADAH,2923,UNIT,2019
216,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PASAR,43,UNIT,2019
217,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SD,951,UNIT,2019
218,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SMP,251,UNIT,2019
219,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SMA,152,UNIT,2019
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PUSKESMAS,62,UNIT,2019
221,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RUMAH SAKIT,8,UNIT,2019
222,32,JAWA BARAT,3204,KABUPATEN BANDUNG,HOTEL BINTANG,0,UNIT,2019
223,32,JAWA BARAT,3204,KABUPATEN BANDUNG,HOTEL NON BINTANG,0,UNIT,2019
224,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TEMPAT IBADAH,2273,UNIT,2019
225,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PASAR,8,UNIT,2019
226,32,JAWA BARAT,3205,KABUPATEN GARUT,SD,1234,UNIT,2019
227,32,JAWA BARAT,3205,KABUPATEN GARUT,SMP,352,UNIT,2019
